127.0.0.1 - - [02/Feb/2023:23:23:28 +0600] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:29 +0600] "GET /Ebook-App/ HTTP/1.1" 200 13123
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:29 +0600] "GET /Ebook-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/Ugly%20Love%20A%20Novel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/st.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/harry.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/Holly.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/LOKI.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/The%20Winter%20Soldier.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/sql.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/C.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/sapiens.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/ani1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/java.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/book/down.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /Ebook-App/img/bg1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:30 +0600] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:35 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:46 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:46 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 13308
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:58 +0600] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 7878
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:58 +0600] "GET /Ebook-App/book/Gamora%20and%20Nebula.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:23:58 +0600] "GET /Ebook-App/book/linux.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:03 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 14804
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:03 +0600] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 14804
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:03 +0600] "GET /Ebook-App/book/c++.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:09 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:32 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:32 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4754
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:24:33 +0600] "GET /Ebook-App/register.jsp HTTP/1.1" 200 5442
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:09 +0600] "POST /Ebook-App/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:09 +0600] "GET /Ebook-App/register.jsp HTTP/1.1" 200 5549
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:30 +0600] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 6416
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:34 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4667
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:41 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:41 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 13308
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:45 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 13308
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:46 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:48 +0600] "GET /Ebook-App/edit_profile.jsp HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:51 +0600] "GET /Ebook-App/user_address.jsp HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:54 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [02/Feb/2023:23:25:56 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 5818
