127.0.0.1 - - [29/Jan/2023:09:06:40 +0600] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/ HTTP/1.1" 200 9712
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/all_component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/book/C.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/book/linux.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/book/c++.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/book/java.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /Ebook-App/img/images.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:41 +0600] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:44 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:53 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:06:54 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:07 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:07 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4704
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:28 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:28 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:30 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6899
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:44 +0600] "POST /Ebook-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:44 +0600] "GET /Ebook-App/order_success.jsp HTTP/1.1" 200 4025
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:07:46 +0600] "GET /Ebook-App/user_order.jsp HTTP/1.1" 404 745
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:13:05 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:13:06 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 500 2765
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:16:36 +0600] "GET /Ebook-App/ HTTP/1.1" 200 9849
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:16:40 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:16:43 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 500 2085
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:15 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:17 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:18 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:18 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:18 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:19:20 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4854
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:22:59 +0600] "GET /Ebook-App/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:22:59 +0600] "GET /Ebook-App/login.jsp HTTP/1.1" 200 4700
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:23:23 +0600] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:23:23 +0600] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9856
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:23:26 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:23:27 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4303
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:27:49 +0600] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 6925
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:28:01 +0600] "POST /Ebook-App/order HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:28:01 +0600] "GET /Ebook-App/order_success.jsp HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:28:05 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:28:06 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:29:06 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:32:43 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:32:53 +0600] "GET /Ebook-App/order.jsp HTTP/1.1" 200 4558
0:0:0:0:0:0:0:1 - - [29/Jan/2023:09:33:01 +0600] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 5275
